Image Name,Number of Clusters,Bounding Boxes,Boxes with text
www.uk.rgf.ru,8,"[(127, 187, 24, 34), (357, 188, 131, 2), (322, 155, 291, 104), (276, 195, 50, 57), (719, 279, 39, 35), (508, 280, 45, 36), (731, 368, 127, 95), (524, 373, 194, 78), (127, 291, 355, 351), (145, 636, 354, 220)]","[{'box_coordinates': (127, 187, 24, 34), 'text': ''}, {'box_coordinates': (357, 188, 131, 2), 'text': ''}, {'box_coordinates': (322, 155, 291, 104), 'text': ''}, {'box_coordinates': (276, 195, 50, 57), 'text': ''}, {'box_coordinates': (719, 279, 39, 35), 'text': ''}, {'box_coordinates': (508, 280, 45, 36), 'text': ''}, {'box_coordinates': (731, 368, 127, 95), 'text': ''}, {'box_coordinates': (524, 373, 194, 78), 'text': 'toD..DADNDNONDAY\n9680 RD RVD AT RYD}O/D SEND He\nAPD Ayo Bt'}, {'box_coordinates': (127, 291, 355, 351), 'text': 'D Hab XDD Rab HexD ND ACOA i HO Rad RO Fed Oe 212\n\nis Laposeoieoe odozeo ve i~ooies seeker\neDROAaNOK OkoADODIONON Iis7 Ok CRDRRAM oo'}, {'box_coordinates': (145, 636, 354, 220), 'text': 'cosa noenil PI) TT\nLeal'}]"
www.cclin.arlin.fr,0,"[(133, 129, 92, 751), (801, 129, 92, 751), (484, 150, 56, 92), (571, 185, 162, 13), (299, 185, 160, 13), (707, 443, 30, 47), (385, 468, 14, 57), (742, 601, 13, 23), (602, 664, 20, 61), (398, 321, 215, 404), (540, 717, 43, 38)]","[{'box_coordinates': (133, 129, 92, 751), 'text': ''}, {'box_coordinates': (801, 129, 92, 751), 'text': ''}, {'box_coordinates': (484, 150, 56, 92), 'text': ''}, {'box_coordinates': (571, 185, 162, 13), 'text': ''}, {'box_coordinates': (299, 185, 160, 13), 'text': ''}, {'box_coordinates': (707, 443, 30, 47), 'text': ''}, {'box_coordinates': (385, 468, 14, 57), 'text': ''}, {'box_coordinates': (742, 601, 13, 23), 'text': ''}, {'box_coordinates': (602, 664, 20, 61), 'text': ''}, {'box_coordinates': (398, 321, 215, 404), 'text': ''}, {'box_coordinates': (540, 717, 43, 38), 'text': ''}]"
www.allegrosafety.com,0,"[(127, 119, 771, 43), (777, 167, 116, 71), (133, 167, 116, 71), (678, 169, 94, 69), (254, 169, 335, 69), (594, 170, 80, 68), (127, 245, 772, 646)]","[{'box_coordinates': (127, 119, 771, 43), 'text': 'see\nEEE Le'}, {'box_coordinates': (777, 167, 116, 71), 'text': ''}, {'box_coordinates': (133, 167, 116, 71), 'text': ''}, {'box_coordinates': (678, 169, 94, 69), 'text': ''}, {'box_coordinates': (254, 169, 335, 69), 'text': 'Coad'}, {'box_coordinates': (594, 170, 80, 68), 'text': ''}, {'box_coordinates': (127, 245, 772, 646), 'text': 'FEATURED PRODUCTS > PS'}]"
www.a.team.org,1,"[(286, 485, 454, 396)]","[{'box_coordinates': (286, 485, 454, 396), 'text': ''}]"
www.wv.nrcs.usda.gov,7,"[(701, 119, 197, 63), (310, 119, 387, 46), (130, 121, 179, 41), (199, 167, 272, 14), (227, 229, 88, 89), (226, 340, 90, 67), (226, 413, 90, 78), (320, 348, 420, 124), (881, 458, 17, 15), (227, 598, 521, 55), (227, 667, 452, 82), (316, 771, 125, 52), (596, 789, 39, 15), (467, 808, 10, 12)]","[{'box_coordinates': (701, 119, 197, 63), 'text': 'West Virginia -'}, {'box_coordinates': (310, 119, 387, 46), 'text': ''}, {'box_coordinates': (130, 121, 179, 41), 'text': 'OM Gs cclescel'}, {'box_coordinates': (199, 167, 272, 14), 'text': ''}, {'box_coordinates': (227, 229, 88, 89), 'text': ''}, {'box_coordinates': (226, 340, 90, 67), 'text': ''}, {'box_coordinates': (226, 413, 90, 78), 'text': ''}, {'box_coordinates': (320, 348, 420, 124), 'text': 'seas pty hase ae\n\n   \n\napres ys reais an erie ct hal ef et rg ey owes he a\nhap y anna ayn eared xen Lak Cay, oes\nurna acenatan tn, hao, mae'}, {'box_coordinates': (881, 458, 17, 15), 'text': ''}, {'box_coordinates': (227, 598, 521, 55), 'text': 'ypto-end.on june 14\nANTOW Hy 3 LSRS Sohn aes Caer ace CS) saan kg pra eth Caen Stn\n(Con a> wane newline tne 2813 tbr ore kg pore.'}, {'box_coordinates': (227, 667, 452, 82), 'text': 'ites to sens meng! hee pn at Techn Commer the Une ates Decaf gtr“\ncerca Thermating wit hed 00m ov eresty ne 252 = roo 200 tL Cred pn\n\neo dominos gue oe semen ane ste na ernment ecm eran ne\nanced wth be many thas Chtete tet ran 360286407 o nom towels rare meng wh ah'}, {'box_coordinates': (316, 771, 125, 52), 'text': 'TICE TO HISPANIC AND/OR |\n\nhick here you area woman or\npptopery Seid am oun bee\n""You may beet'}, {'box_coordinates': (596, 789, 39, 15), 'text': ''}, {'box_coordinates': (467, 808, 10, 12), 'text': ''}]"
www.fierj.blogspot.nl,5,"[(133, 122, 35, 17), (300, 122, 593, 17), (137, 148, 139, 80), (277, 210, 10, 11), (134, 235, 231, 117), (134, 354, 231, 76), (391, 402, 122, 76), (136, 434, 146, 34), (282, 435, 83, 22), (134, 474, 233, 206), (391, 518, 127, 89)]","[{'box_coordinates': (133, 122, 35, 17), 'text': ''}, {'box_coordinates': (300, 122, 593, 17), 'text': ''}, {'box_coordinates': (137, 148, 139, 80), 'text': ''}, {'box_coordinates': (277, 210, 10, 11), 'text': ''}, {'box_coordinates': (134, 235, 231, 117), 'text': ''}, {'box_coordinates': (134, 354, 231, 76), 'text': ''}, {'box_coordinates': (391, 402, 122, 76), 'text': ''}, {'box_coordinates': (136, 434, 146, 34), 'text': ''}, {'box_coordinates': (282, 435, 83, 22), 'text': ''}, {'box_coordinates': (134, 474, 233, 206), 'text': ''}, {'box_coordinates': (391, 518, 127, 89), 'text': ''}]"
evridges.com,1,"[(133, 124, 760, 88), (783, 216, 116, 674), (127, 216, 116, 674), (777, 303, 2, 57), (246, 215, 533, 382), (247, 606, 81, 119), (247, 745, 531, 141)]","[{'box_coordinates': (133, 124, 760, 88), 'text': 'Era)'}, {'box_coordinates': (783, 216, 116, 674), 'text': ''}, {'box_coordinates': (127, 216, 116, 674), 'text': ''}, {'box_coordinates': (777, 303, 2, 57), 'text': ''}, {'box_coordinates': (246, 215, 533, 382), 'text': ''}, {'box_coordinates': (247, 606, 81, 119), 'text': 'foe'}, {'box_coordinates': (247, 745, 531, 141), 'text': ''}]"
www.cmakeelhaulers.com,1,"[(137, 124, 752, 225), (369, 352, 519, 74), (403, 430, 485, 69), (138, 511, 750, 251), (127, 748, 2, 14), (127, 762, 771, 124)]","[{'box_coordinates': (137, 124, 752, 225), 'text': ''}, {'box_coordinates': (369, 352, 519, 74), 'text': ''}, {'box_coordinates': (403, 430, 485, 69), 'text': ''}, {'box_coordinates': (138, 511, 750, 251), 'text': ''}, {'box_coordinates': (127, 748, 2, 14), 'text': ''}, {'box_coordinates': (127, 762, 771, 124), 'text': ''}]"
www.neocasa.ro,13,"[(490, 185, 45, 105), (385, 297, 144, 53), (539, 364, 47, 19), (383, 353, 150, 70), (444, 424, 139, 46), (204, 592, 34, 21), (135, 479, 755, 195), (202, 680, 28, 29), (743, 698, 12, 10), (226, 677, 515, 188), (252, 865, 46, 24), (308, 868, 98, 22), (408, 868, 109, 22)]","[{'box_coordinates': (490, 185, 45, 105), 'text': ''}, {'box_coordinates': (385, 297, 144, 53), 'text': ''}, {'box_coordinates': (539, 364, 47, 19), 'text': ''}, {'box_coordinates': (383, 353, 150, 70), 'text': ''}, {'box_coordinates': (444, 424, 139, 46), 'text': ''}, {'box_coordinates': (204, 592, 34, 21), 'text': ''}, {'box_coordinates': (135, 479, 755, 195), 'text': ''}, {'box_coordinates': (202, 680, 28, 29), 'text': ''}, {'box_coordinates': (743, 698, 12, 10), 'text': ''}, {'box_coordinates': (226, 677, 515, 188), 'text': ''}, {'box_coordinates': (252, 865, 46, 24), 'text': ''}, {'box_coordinates': (308, 868, 98, 22), 'text': ''}, {'box_coordinates': (408, 868, 109, 22), 'text': ''}]"
www.cam.rn.it,1,"[(272, 119, 421, 117), (292, 269, 86, 137), (271, 854, 484, 36)]","[{'box_coordinates': (272, 119, 421, 117), 'text': ''}, {'box_coordinates': (292, 269, 86, 137), 'text': ''}, {'box_coordinates': (271, 854, 484, 36), 'text': ''}]"
www.cellsignal.com,4,"[(131, 138, 760, 91), (131, 230, 404, 362), (144, 606, 93, 76), (153, 748, 41, 49), (134, 800, 73, 40)]","[{'box_coordinates': (131, 138, 760, 91), 'text': 'Signaling Pathways and Tables\n\nhtm hve aon red Co ain ton 4) mm aoe nee acne a et omen dt Petes oe'}, {'box_coordinates': (131, 230, 404, 362), 'text': '* Sarasa\n\n \n\n= SEP Romine\n\n \n\n+ BES meme ates'}, {'box_coordinates': (144, 606, 93, 76), 'text': ''}, {'box_coordinates': (153, 748, 41, 49), 'text': ''}, {'box_coordinates': (134, 800, 73, 40), 'text': ''}]"
www.teine.station.ortho.com,5,"[(127, 119, 765, 62), (153, 194, 305, 323), (455, 195, 418, 654), (590, 852, 281, 14), (729, 868, 96, 16), (590, 868, 125, 16)]","[{'box_coordinates': (127, 119, 765, 62), 'text': ''}, {'box_coordinates': (153, 194, 305, 323), 'text': '(Tabane. Maden\n\nices ogg rin i unre rea'}, {'box_coordinates': (455, 195, 418, 654), 'text': 'ne\nx\n\nese ta Ee Na te aa'}, {'box_coordinates': (590, 852, 281, 14), 'text': ''}, {'box_coordinates': (729, 868, 96, 16), 'text': ''}, {'box_coordinates': (590, 868, 125, 16), 'text': ''}]"
www.citylemon.com,13,"[(127, 119, 771, 25), (555, 239, 153, 87), (318, 240, 234, 86), (554, 332, 77, 86), (318, 332, 77, 86), (476, 333, 76, 85), (397, 333, 76, 85), (634, 333, 74, 85), (634, 425, 74, 85), (476, 425, 155, 85), (318, 425, 155, 85), (634, 516, 73, 87), (554, 517, 76, 86), (476, 517, 75, 86), (397, 517, 76, 86), (318, 517, 76, 86), (691, 733, 77, 34)]","[{'box_coordinates': (127, 119, 771, 25), 'text': '<5 CTLEWOWTAD0 UR LENO'}, {'box_coordinates': (555, 239, 153, 87), 'text': ''}, {'box_coordinates': (318, 240, 234, 86), 'text': '~The\n\npers ey ooh\nx y'}, {'box_coordinates': (554, 332, 77, 86), 'text': '2\nart ‘i\n\n \n\nCry'}, {'box_coordinates': (318, 332, 77, 86), 'text': ''}, {'box_coordinates': (476, 333, 76, 85), 'text': ''}, {'box_coordinates': (397, 333, 76, 85), 'text': 'Ci'}, {'box_coordinates': (634, 333, 74, 85), 'text': 'a\n\nCay'}, {'box_coordinates': (634, 425, 74, 85), 'text': '*\n\nTD'}, {'box_coordinates': (476, 425, 155, 85), 'text': '2 ee\ncoy (BRE\nK )'}, {'box_coordinates': (318, 425, 155, 85), 'text': 'eA\ncre'}, {'box_coordinates': (634, 516, 73, 87), 'text': 'aaa'}, {'box_coordinates': (554, 517, 76, 86), 'text': ''}, {'box_coordinates': (476, 517, 75, 86), 'text': 'Ac'}, {'box_coordinates': (397, 517, 76, 86), 'text': ''}, {'box_coordinates': (318, 517, 76, 86), 'text': ''}, {'box_coordinates': (691, 733, 77, 34), 'text': ''}]"
www.joebar.ch,2,"[(131, 155, 762, 374), (131, 577, 81, 69)]","[{'box_coordinates': (131, 155, 762, 374), 'text': '> WebHome\n\n \n\n \n\nhalt ile ein oe Bar Tem\n\n5; ies sino Br ea Coico hn Dtare ed Sane Deine bei ""ie eet, Ta, ds sich eigen en let he\n1 Mra lela eee ae Mapes ine ure Vn eae are pach\n\nis ge Dison sates cj Asen,onadelosesBlecthujne nd cannes stbigeOffadps. id ner ui sind iti unseen Mousa Bikes\nregs ane ich ee macht'}, {'box_coordinates': (131, 577, 81, 69), 'text': 'Weitere Web'}]"
www.sentinelha.org.uk,5,"[(525, 219, 27, 14), (127, 121, 766, 172), (127, 294, 771, 343), (133, 636, 760, 85), (233, 744, 206, 31)]","[{'box_coordinates': (525, 219, 27, 14), 'text': ''}, {'box_coordinates': (127, 121, 766, 172), 'text': ''}, {'box_coordinates': (127, 294, 771, 343), 'text': ''}, {'box_coordinates': (133, 636, 760, 85), 'text': ''}, {'box_coordinates': (233, 744, 206, 31), 'text': ''}]"
www.tarrytowndance.net,12,"[(127, 119, 771, 771)]","[{'box_coordinates': (127, 119, 771, 771), 'text': ''}]"
www.placement.uk.com,1,"[(155, 145, 80, 53), (146, 249, 89, 53), (588, 258, 182, 14), (146, 332, 89, 127)]","[{'box_coordinates': (155, 145, 80, 53), 'text': ''}, {'box_coordinates': (146, 249, 89, 53), 'text': ''}, {'box_coordinates': (588, 258, 182, 14), 'text': ''}, {'box_coordinates': (146, 332, 89, 127), 'text': ''}]"
www.megane.no.wako.co.jp,7,"[(248, 196, 263, 70), (513, 206, 212, 59), (260, 293, 359, 52), (635, 297, 23, 40), (709, 297, 54, 40), (619, 316, 1, 6), (629, 336, 85, 48), (730, 343, 26, 32), (258, 362, 363, 200), (634, 391, 129, 136), (635, 532, 128, 45), (549, 566, 9, 11), (254, 568, 366, 148), (620, 625, 12, 27), (633, 578, 130, 94), (635, 673, 128, 23)]","[{'box_coordinates': (248, 196, 263, 70), 'text': 'TED ISIS. BIVOF-ER\n\npum ARE A icaems'}, {'box_coordinates': (513, 206, 212, 59), 'text': ''}, {'box_coordinates': (260, 293, 359, 52), 'text': 'eee wl eee Seay)\nEiem'}, {'box_coordinates': (635, 297, 23, 40), 'text': ''}, {'box_coordinates': (709, 297, 54, 40), 'text': 'og'}, {'box_coordinates': (619, 316, 1, 6), 'text': ''}, {'box_coordinates': (629, 336, 85, 48), 'text': ''}, {'box_coordinates': (730, 343, 26, 32), 'text': ''}, {'box_coordinates': (258, 362, 363, 200), 'text': '‘TOPICS\n\n \n\n \n\n \n\n \n\ntater fecitietde tater seente-ve-ae\n\n \n\n \n\n \n\nscrim tans” vennat ies'}, {'box_coordinates': (634, 391, 129, 136), 'text': ''}, {'box_coordinates': (635, 532, 128, 45), 'text': 'eres\nTRUST'}, {'box_coordinates': (549, 566, 9, 11), 'text': ''}, {'box_coordinates': (254, 568, 366, 148), 'text': 'AUN ERAEDIF 4 ODT IIMA ER ARATEWUEIBERMOLET,\n\n      \n\nAMOXAPERDS er a\n\nSEMORRIAT om Dro VIYPKIAY— » LIMCRODRID-2'}, {'box_coordinates': (620, 625, 12, 27), 'text': ''}, {'box_coordinates': (633, 578, 130, 94), 'text': ''}, {'box_coordinates': (635, 673, 128, 23), 'text': ''}]"
www.aiact.org,3,"[(133, 129, 760, 81), (481, 267, 154, 305), (243, 268, 229, 398), (728, 516, 38, 31), (705, 646, 61, 15), (245, 677, 128, 23), (133, 810, 760, 70)]","[{'box_coordinates': (133, 129, 760, 81), 'text': ''}, {'box_coordinates': (481, 267, 154, 305), 'text': 'ine 10,200\nEnenea ec ms 200)\nrat Norio eae\n\nne 1283\nCong Educaon Comets'}, {'box_coordinates': (243, 268, 229, 398), 'text': 'NA Cueto, he Comat chp fh Arcane\npcan, snes te ached pocin, encazaes ds\netre, argues inp sc Dag cence be call\nnett aératraemtoments Menus cont nenas\nraved sina of pact and cafe of acs tat ate\nsorties oh pti, Cats De uly nds, an eat an\nponealacnecue\n\nx cmeran Conan Ean\n\n \n\nwe 08\n\n  \n\nie Cros\n\n \n\nRE ARCATECTS CoOKBCOK\nhs una coten etesbeaitl ne cans ant oe 25\nodtwateg ees stat by aces at ments\nes an cnrucin nity Vi\n\nbrn\n\nee cane'}, {'box_coordinates': (728, 516, 38, 31), 'text': ''}, {'box_coordinates': (705, 646, 61, 15), 'text': ''}, {'box_coordinates': (245, 677, 128, 23), 'text': ''}, {'box_coordinates': (133, 810, 760, 70), 'text': 'Cee ey'}]"
www.fishdevon.co.uk,4,"[(419, 173, 207, 32), (243, 174, 106, 31), (350, 180, 53, 24), (127, 346, 87, 117), (239, 254, 459, 636)]","[{'box_coordinates': (419, 173, 207, 32), 'text': 'rout and Coarse Fishe'}, {'box_coordinates': (243, 174, 106, 31), 'text': ''}, {'box_coordinates': (350, 180, 53, 24), 'text': ''}, {'box_coordinates': (127, 346, 87, 117), 'text': ''}, {'box_coordinates': (239, 254, 459, 636), 'text': 'uperb Coarse and Fly Fishing in\n\nDitiat Saoludad Sumaimdinas\n\nWelcome to our beautiful, quiet and secluded iakes at Greenacre Farm, Highampton, Beaworthy\n\nWe are sure you would enjoy our coarse lake and our two trout lakes\n\nHiphanptn Lakes le approximately 1.5 miles south of the vilage of Hghampton nthe beaut aly of Wagar Watey\ntrbtary ofthe River Lew wtich it joins 3,000 yards downstream,\n\n2 Fhery compris te trout lakes and on oars ake extending to 4 aces\ntrout lakes are stocked eg wth strenuous hing qualty rainbow tout of various weighs\n\ncoarse lake sched wth varios spe, The ake ceca fr carp was 2 hard fighting commen, weighing 20s\nen ast cup.'}]"
www.used.tanning.beds.com,6,"[(299, 120, 76, 18), (502, 248, 6, 28), (590, 267, 41, 14), (543, 404, 48, 24), (539, 483, 57, 35), (540, 554, 58, 36), (299, 120, 436, 672), (544, 722, 49, 47), (313, 793, 201, 43), (538, 805, 61, 34)]","[{'box_coordinates': (299, 120, 76, 18), 'text': ''}, {'box_coordinates': (502, 248, 6, 28), 'text': ''}, {'box_coordinates': (590, 267, 41, 14), 'text': ''}, {'box_coordinates': (543, 404, 48, 24), 'text': ''}, {'box_coordinates': (539, 483, 57, 35), 'text': ''}, {'box_coordinates': (540, 554, 58, 36), 'text': ''}, {'box_coordinates': (299, 120, 436, 672), 'text': ''}, {'box_coordinates': (544, 722, 49, 47), 'text': ''}, {'box_coordinates': (313, 793, 201, 43), 'text': ''}, {'box_coordinates': (538, 805, 61, 34), 'text': ''}]"
