domain,block_path,Bounding_Boxes
www.cclin-arlin.fr,dataset-random/www.cclin-arlin.fr/www.cclin-arlin.fr/index.blocks.html,"[[133, 129, 92, 751], [801, 129, 92, 751], [484, 150, 56, 92], [571, 185, 162, 13], [299, 185, 160, 13], [707, 443, 30, 47], [385, 468, 14, 57], [742, 601, 13, 23], [602, 664, 20, 61], [398, 321, 215, 404], [540, 717, 43, 38]]"
www.allegrosafety.com,dataset-random/www.allegrosafety.com/www.allegrosafety.com/index.blocks.html,"[[127, 119, 771, 43], [777, 167, 116, 71], [133, 167, 116, 71], [678, 169, 94, 69], [254, 169, 335, 69], [594, 170, 80, 68], [127, 245, 772, 646]]"
www.ambiente-select.de,dataset-random/www.ambiente-select.de/www.ambiente-select.de/index.blocks.html,"[[286, 485, 454, 396]]"
www.wv.nrcs.usda.gov,dataset-random/www.wv.nrcs.usda.gov/www.wv.nrcs.usda.gov/index.blocks.html,"[[701, 119, 197, 63], [310, 119, 387, 46], [130, 121, 179, 41], [199, 167, 272, 14], [227, 229, 88, 89], [226, 340, 90, 67], [226, 413, 90, 78], [320, 348, 420, 124], [881, 458, 17, 15], [227, 598, 521, 55], [227, 667, 452, 82], [316, 771, 125, 52], [596, 789, 39, 15], [467, 808, 10, 12]]"
www.fierj.blogspot.nl,dataset-random/www.fierj.blogspot.nl/www.fierj.blogspot.nl/index.blocks.html,"[[133, 122, 35, 17], [300, 122, 593, 17], [137, 148, 139, 80], [277, 210, 10, 11], [134, 235, 231, 117], [134, 354, 231, 76], [391, 402, 122, 76], [136, 434, 146, 34], [282, 435, 83, 22], [134, 474, 233, 206], [391, 518, 127, 89]]"
evridges.com,dataset-random/evridges.com/evridges.com/index.blocks.html,"[[133, 124, 760, 88], [783, 216, 116, 674], [127, 216, 116, 674], [777, 303, 2, 57], [246, 215, 533, 382], [247, 606, 81, 119], [247, 745, 531, 141]]"
www.cmakeelhaulers.com,dataset-random/www.cmakeelhaulers.com/www.cmakeelhaulers.com/index.blocks.html,"[[137, 124, 752, 225], [369, 352, 519, 74], [403, 430, 485, 69], [138, 511, 750, 251], [127, 748, 2, 14], [127, 762, 771, 124]]"
www.neocasa.ro,dataset-random/www.neocasa.ro/www.neocasa.ro/index.blocks.html,"[[490, 185, 45, 105], [385, 297, 144, 53], [539, 364, 47, 19], [383, 353, 150, 70], [444, 424, 139, 46], [204, 592, 34, 21], [135, 479, 755, 195], [202, 680, 28, 29], [743, 698, 12, 10], [226, 677, 515, 188], [252, 865, 46, 24], [308, 868, 98, 22], [408, 868, 109, 22]]"
www.cam.rn.it,dataset-random/www.cam.rn.it/www.cam.rn.it/index.blocks.html,"[[272, 119, 421, 117], [292, 269, 86, 137], [271, 854, 484, 36]]"
www.cellsignal.com,dataset-random/www.cellsignal.com/www.cellsignal.com/index.blocks.html,"[[131, 138, 760, 91], [131, 230, 404, 362], [144, 606, 93, 76], [153, 748, 41, 49], [134, 800, 73, 40]]"
www.teine-station-ortho.com,dataset-random/www.teine-station-ortho.com/www.teine-station-ortho.com/index.blocks.html,"[[127, 119, 765, 62], [153, 194, 305, 323], [455, 195, 418, 654], [590, 852, 281, 14], [729, 868, 96, 16], [590, 868, 125, 16]]"
www.citylemon.com,dataset-random/www.citylemon.com/www.citylemon.com/index.blocks.html,"[[127, 119, 771, 25], [555, 239, 153, 87], [318, 240, 234, 86], [554, 332, 77, 86], [318, 332, 77, 86], [476, 333, 76, 85], [397, 333, 76, 85], [634, 333, 74, 85], [634, 425, 74, 85], [476, 425, 155, 85], [318, 425, 155, 85], [634, 516, 73, 87], [554, 517, 76, 86], [476, 517, 75, 86], [397, 517, 76, 86], [318, 517, 76, 86], [691, 733, 77, 34]]"
www.joebar.ch,dataset-random/www.joebar.ch/www.joebar.ch/index.blocks.html,"[[131, 155, 762, 374], [131, 577, 81, 69]]"
www.sentinelha.org.uk,dataset-random/www.sentinelha.org.uk/www.sentinelha.org.uk/index.blocks.html,"[[525, 219, 27, 14], [127, 121, 766, 172], [127, 294, 771, 343], [133, 636, 760, 85], [233, 744, 206, 31]]"
www.tarrytowndance.net,dataset-random/www.tarrytowndance.net/www.tarrytowndance.net/index.blocks.html,"[[127, 119, 771, 771]]"
www.placement-uk.com,dataset-random/www.placement-uk.com/www.placement-uk.com/index.blocks.html,"[[155, 145, 80, 53], [146, 249, 89, 53], [588, 258, 182, 14], [146, 332, 89, 127]]"
www.megane-no-wako.co.jp,dataset-random/www.megane-no-wako.co.jp/www.megane-no-wako.co.jp/index.blocks.html,"[[248, 196, 263, 70], [513, 206, 212, 59], [260, 293, 359, 52], [635, 297, 23, 40], [709, 297, 54, 40], [619, 316, 1, 6], [629, 336, 85, 48], [730, 343, 26, 32], [258, 362, 363, 200], [634, 391, 129, 136], [635, 532, 128, 45], [549, 566, 9, 11], [254, 568, 366, 148], [620, 625, 12, 27], [633, 578, 130, 94], [635, 673, 128, 23]]"
www.aiact.org,dataset-random/www.aiact.org/www.aiact.org/index.blocks.html,"[[133, 129, 760, 81], [481, 267, 154, 305], [243, 268, 229, 398], [728, 516, 38, 31], [705, 646, 61, 15], [245, 677, 128, 23], [133, 810, 760, 70]]"
www.fishdevon.co.uk,dataset-random/www.fishdevon.co.uk/www.fishdevon.co.uk/index.blocks.html,"[[419, 173, 207, 32], [243, 174, 106, 31], [350, 180, 53, 24], [127, 346, 87, 117], [239, 254, 459, 636]]"
www.used-tanning-beds.com,dataset-random/www.used-tanning-beds.com/www.used-tanning-beds.com/index.blocks.html,"[[299, 120, 76, 18], [502, 248, 6, 28], [590, 267, 41, 14], [543, 404, 48, 24], [539, 483, 57, 35], [540, 554, 58, 36], [299, 120, 436, 672], [544, 722, 49, 47], [313, 793, 201, 43], [538, 805, 61, 34]]"
www.nmch.nl,dataset-random/www.nmch.nl/www.nmch.nl/index.blocks.html,"[[140, 170, 188, 94], [148, 268, 90, 21], [241, 268, 21, 10], [323, 303, 23, 11], [131, 303, 190, 25], [464, 387, 59, 22], [134, 338, 292, 83], [748, 426, 147, 18], [131, 426, 280, 201], [131, 628, 174, 127]]"
business3.plala.or.jp,dataset-random/business3.plala.or.jp/business3.plala.or.jp/index.blocks.html,"[[178, 184, 95, 47], [191, 249, 83, 33], [275, 250, 10, 15], [583, 307, 64, 16], [398, 419, 6, 88], [779, 423, 114, 38], [308, 211, 477, 354], [405, 559, 277, 43], [683, 569, 23, 22], [539, 603, 60, 12], [308, 629, 548, 176]]"
www.ambiente-select.de,dataset-random/www.ambiente-select.de/www.ambiente-select.de/index.blocks.html,"[[434, 119, 367, 49], [494, 186, 92, 46], [642, 198, 160, 35], [219, 119, 274, 334], [561, 262, 77, 35], [480, 262, 79, 33], [348, 784, 107, 32], [350, 834, 105, 31]]"
www.europa-auf-einen-blick.de,dataset-random/www.europa-auf-einen-blick.de/www.europa-auf-einen-blick.de/index.blocks.html,"[[729, 119, 169, 65], [296, 119, 171, 64], [291, 120, 6, 68], [146, 149, 14, 21], [468, 176, 259, 1], [886, 186, 12, 1], [819, 186, 3, 1], [127, 189, 771, 688]]"
www.powerh2o.net,dataset-random/www.powerh2o.net/www.powerh2o.net/index.blocks.html,"[[127, 119, 771, 771]]"
www.iledesirade.fr,dataset-random/www.iledesirade.fr/www.iledesirade.fr/index.blocks.html,"[[133, 122, 686, 84], [834, 177, 61, 22], [150, 204, 219, 25], [131, 232, 767, 658]]"
www.oxfordms.net,dataset-random/www.oxfordms.net/www.oxfordms.net/index.blocks.html,"[[134, 665, 420, 136]]"
groups.yahoo.com,dataset-random/groups.yahoo.com/groups.yahoo.com/index.blocks.html,"[[133, 217, 150, 73], [722, 332, 96, 56], [825, 336, 65, 32], [131, 304, 346, 181], [723, 399, 80, 49], [722, 457, 168, 132], [717, 599, 1, 18], [131, 487, 586, 192], [191, 707, 444, 146], [133, 859, 161, 19], [294, 867, 22, 11]]"
www.dub.uu.nl,dataset-random/www.dub.uu.nl/www.dub.uu.nl/index.blocks.html,"[[247, 137, 351, 123], [639, 235, 92, 43], [250, 269, 165, 82], [745, 298, 32, 64], [621, 302, 54, 71], [428, 270, 170, 91], [610, 409, 170, 42], [245, 364, 170, 119], [609, 477, 169, 65], [429, 444, 168, 63], [248, 485, 167, 81], [429, 508, 166, 107], [607, 559, 148, 67], [248, 569, 169, 42], [756, 591, 11, 23], [245, 615, 171, 73], [426, 627, 172, 68], [621, 650, 97, 55], [248, 690, 168, 76], [429, 697, 167, 99], [133, 857, 760, 32]]"
www.ilse.nl,dataset-random/www.ilse.nl/www.ilse.nl/index.blocks.html,"[[449, 169, 28, 15], [663, 201, 37, 16], [608, 201, 36, 16], [258, 322, 68, 38], [347, 322, 72, 39], [607, 322, 88, 39], [696, 322, 72, 39], [433, 323, 67, 37], [523, 323, 70, 38], [262, 362, 33, 123], [438, 362, 32, 22], [612, 362, 32, 122], [438, 413, 32, 71], [432, 496, 71, 39], [520, 496, 73, 39], [258, 497, 68, 38], [348, 497, 71, 38], [607, 497, 73, 38], [681, 497, 87, 38], [263, 536, 32, 122], [437, 536, 33, 122], [612, 536, 148, 122], [258, 671, 68, 38], [348, 671, 71, 38], [262, 710, 33, 117], [258, 855, 510, 13]]"
www.prestiscene.com,dataset-random/www.prestiscene.com/www.prestiscene.com/index.blocks.html,"[[361, 126, 423, 88], [445, 481, 317, 129], [501, 645, 55, 18], [476, 670, 75, 57]]"
www.kenneljenager.dk,dataset-random/www.kenneljenager.dk/www.kenneljenager.dk/index.blocks.html,"[[369, 129, 412, 45], [243, 133, 102, 33], [534, 455, 27, 15], [484, 455, 27, 14], [676, 554, 102, 56]]"
www.montair.it,dataset-random/www.montair.it/www.montair.it/index.blocks.html,"[[127, 119, 772, 771]]"
www.cometlog.com,dataset-random/www.cometlog.com/www.cometlog.com/index.blocks.html,"[[304, 287, 419, 77], [298, 874, 431, 16]]"
www.intercarto.com,dataset-random/www.intercarto.com/www.intercarto.com/index.blocks.html,"[[141, 169, 85, 13], [318, 170, 23, 11], [226, 171, 18, 10], [131, 186, 180, 52], [154, 241, 118, 33], [130, 278, 177, 58], [130, 352, 164, 67], [263, 416, 32, 2], [130, 474, 190, 11], [720, 571, 119, 31], [131, 487, 760, 162], [137, 652, 485, 41], [867, 653, 23, 22], [153, 698, 537, 75], [708, 698, 184, 83]]"
www.cadixtour.com,dataset-random/www.cadixtour.com/www.cadixtour.com/index.blocks.html,"[[439, 172, 35, 53], [294, 205, 86, 133], [295, 479, 85, 18], [445, 305, 274, 352]]"
www.sayisalgrafik.com.tr,dataset-random/www.sayisalgrafik.com.tr/www.sayisalgrafik.com.tr/index.blocks.html,"[[230, 126, 566, 642], [224, 774, 579, 116]]"
www.hostelmotango.com,dataset-random/www.hostelmotango.com/www.hostelmotango.com/index.blocks.html,"[[127, 119, 771, 22], [301, 165, 45, 63], [493, 223, 236, 56], [621, 281, 142, 40], [537, 283, 82, 30], [298, 165, 488, 473], [311, 651, 448, 157], [358, 825, 309, 28]]"
www.comune.quaregna.bi.it,dataset-random/www.comune.quaregna.bi.it/www.comune.quaregna.bi.it/index.blocks.html,"[[127, 119, 771, 771]]"
www.zarzailuminacion.com,dataset-random/www.zarzailuminacion.com/www.zarzailuminacion.com/index.blocks.html,"[[127, 119, 766, 761]]"
www.screechmedia.com,dataset-random/www.screechmedia.com/www.screechmedia.com/index.blocks.html,"[[133, 129, 760, 752]]"
www.snobtop.com,dataset-random/www.snobtop.com/www.snobtop.com/index.blocks.html,"[[360, 375, 106, 11], [130, 119, 753, 481], [333, 589, 76, 5], [815, 642, 66, 12], [127, 565, 675, 266], [460, 829, 105, 29], [131, 855, 82, 21]]"
www.broederij-rombouts.nl,dataset-random/www.broederij-rombouts.nl/www.broederij-rombouts.nl/index.blocks.html,"[[133, 131, 760, 712], [127, 877, 771, 13]]"
www.greencove.fr,dataset-random/www.greencove.fr/www.greencove.fr/index.blocks.html,"[[519, 266, 139, 105], [673, 273, 107, 94], [373, 273, 132, 98], [252, 402, 99, 37], [376, 514, 135, 40], [737, 531, 33, 24], [577, 574, 28, 21], [424, 578, 38, 16], [242, 667, 115, 89], [378, 630, 276, 79], [239, 830, 549, 55]]"
www.belizeretirementguide.com,dataset-random/www.belizeretirementguide.com/www.belizeretirementguide.com/index.blocks.html,"[[291, 122, 443, 153], [719, 234, 15, 41], [526, 379, 86, 42]]"
www.diamondfarm.com,dataset-random/www.diamondfarm.com/www.diamondfarm.com/index.blocks.html,"[[381, 146, 265, 348], [382, 548, 259, 84], [435, 752, 156, 77]]"
